Episode,Agent,TotalReward,Status,Epsilon
6,41,-88.40,TimedOut,0.9704
6,42,-80.90,TimedOut,0.9704
6,43,-129.80,TimedOut,0.9704
6,44,-110.00,TimedOut,0.9704
6,45,-117.50,TimedOut,0.9704
6,46,-88.50,TimedOut,0.9704
6,47,-108.90,TimedOut,0.9704
6,48,-227.10,TimedOut,0.9704
6,49,-198.00,TimedOut,0.9704
7,0,-101.00,TimedOut,0.9655
7,1,-207.50,TimedOut,0.9655
7,2,-68.20,TimedOut,0.9655
7,3,-68.70,TimedOut,0.9655
7,4,-101.10,TimedOut,0.9655
7,5,-130.00,TimedOut,0.9655
7,6,-147.80,TimedOut,0.9655
7,7,-98.40,TimedOut,0.9655
7,8,-108.70,TimedOut,0.9655
7,9,-70.00,TimedOut,0.9655
7,10,-159.00,TimedOut,0.9655
7,11,-98.20,TimedOut,0.9655
7,12,-159.70,TimedOut,0.9655
7,13,-395.90,TimedOut,0.9655
7,14,-99.00,TimedOut,0.9655
7,15,-128.90,TimedOut,0.9655
7,16,-179.00,TimedOut,0.9655
7,17,-80.80,TimedOut,0.9655
7,18,-70.60,TimedOut,0.9655
7,19,-128.90,TimedOut,0.9655
7,20,-127.10,TimedOut,0.9655
7,21,-71.50,TimedOut,0.9655
7,22,-110.20,TimedOut,0.9655
7,23,-119.50,TimedOut,0.9655
7,24,-159.30,TimedOut,0.9655
7,25,-61.70,TimedOut,0.9655
7,26,-257.70,TimedOut,0.9655
7,27,-128.30,TimedOut,0.9655
7,28,-69.90,TimedOut,0.9655
7,29,-70.10,TimedOut,0.9655
7,30,-424.70,TimedOut,0.9655
7,31,-128.50,TimedOut,0.9655
7,32,-109.40,TimedOut,0.9655
7,33,-60.00,TimedOut,0.9655
7,34,-99.60,TimedOut,0.9655
7,35,-87.50,TimedOut,0.9655
7,36,-119.20,TimedOut,0.9655
7,37,-178.50,TimedOut,0.9655
7,38,-159.00,TimedOut,0.9655
7,39,-100.20,TimedOut,0.9655
7,40,-100.40,TimedOut,0.9655
7,41,-227.50,TimedOut,0.9655
7,42,-119.70,TimedOut,0.9655
7,43,-228.60,TimedOut,0.9655
7,44,-78.90,TimedOut,0.9655
7,45,-285.90,TimedOut,0.9655
7,46,-118.90,TimedOut,0.9655
7,47,-88.10,TimedOut,0.9655
7,48,-70.90,TimedOut,0.9655
7,49,-71.20,TimedOut,0.9655
8,0,-129.90,TimedOut,0.9607
8,1,-80.20,TimedOut,0.9607
8,2,-89.60,TimedOut,0.9607
8,3,-139.00,TimedOut,0.9607
8,4,-148.70,TimedOut,0.9607
8,5,-276.40,TimedOut,0.9607
8,6,-59.30,TimedOut,0.9607
8,7,-78.80,TimedOut,0.9607
8,8,-146.70,TimedOut,0.9607
8,9,-177.50,TimedOut,0.9607
8,10,-89.50,TimedOut,0.9607
8,11,-71.70,TimedOut,0.9607
8,12,-88.50,TimedOut,0.9607
8,13,-119.10,TimedOut,0.9607
8,14,-167.60,TimedOut,0.9607
8,15,-256.60,TimedOut,0.9607
8,16,-69.90,TimedOut,0.9607
8,17,-147.60,TimedOut,0.9607
8,18,-148.90,TimedOut,0.9607
8,19,-79.90,TimedOut,0.9607
8,20,-111.60,TimedOut,0.9607
8,21,-227.50,TimedOut,0.9607
8,22,-89.80,TimedOut,0.9607
8,23,-167.60,TimedOut,0.9607
8,24,-80.60,TimedOut,0.9607
8,25,-79.10,TimedOut,0.9607
8,26,-139.00,TimedOut,0.9607
8,27,-286.10,TimedOut,0.9607
8,28,-68.40,TimedOut,0.9607
8,29,-99.00,TimedOut,0.9607
8,30,-120.00,TimedOut,0.9607
8,31,-118.40,TimedOut,0.9607
8,32,-90.00,TimedOut,0.9607
8,33,-70.00,TimedOut,0.9607
8,34,-70.30,TimedOut,0.9607
8,35,-178.20,TimedOut,0.9607
8,36,-108.80,TimedOut,0.9607
8,37,-69.80,TimedOut,0.9607
8,38,-139.30,TimedOut,0.9607
8,39,-118.10,TimedOut,0.9607
8,40,-169.60,TimedOut,0.9607
8,41,-109.20,TimedOut,0.9607
8,42,-109.70,TimedOut,0.9607
8,43,-98.90,TimedOut,0.9607
8,44,-99.10,TimedOut,0.9607
8,45,-59.60,TimedOut,0.9607
8,46,-90.50,TimedOut,0.9607
8,47,-70.00,TimedOut,0.9607
8,48,-237.70,TimedOut,0.9607
8,49,-99.60,TimedOut,0.9607
9,0,-248.60,TimedOut,0.9559
9,1,-79.60,TimedOut,0.9559
9,2,-80.50,TimedOut,0.9559
9,3,-89.70,TimedOut,0.9559
9,4,-69.40,TimedOut,0.9559
9,5,-89.10,TimedOut,0.9559
9,6,-286.70,TimedOut,0.9559
9,7,-120.00,TimedOut,0.9559
9,8,-247.10,TimedOut,0.9559
9,9,-61.80,TimedOut,0.9559
9,10,-58.70,TimedOut,0.9559
9,11,-71.00,TimedOut,0.9559
9,12,-366.10,TimedOut,0.9559
9,13,-247.00,TimedOut,0.9559
9,14,-198.50,TimedOut,0.9559
9,15,-60.20,TimedOut,0.9559
9,16,-60.80,TimedOut,0.9559
9,17,-108.70,TimedOut,0.9559
9,18,-108.20,TimedOut,0.9559
9,19,-59.60,TimedOut,0.9559
9,20,-61.20,TimedOut,0.9559
9,21,-80.60,TimedOut,0.9559
9,22,-60.70,TimedOut,0.9559
9,23,-127.50,TimedOut,0.9559
9,24,-99.10,TimedOut,0.9559
9,25,-99.20,TimedOut,0.9559
9,26,-216.50,TimedOut,0.9559
9,27,-140.90,TimedOut,0.9559
9,28,-60.20,TimedOut,0.9559
9,29,-80.10,TimedOut,0.9559
9,30,-167.80,TimedOut,0.9559
9,31,-148.50,TimedOut,0.9559
9,32,-89.30,TimedOut,0.9559
9,33,-165.70,TimedOut,0.9559
9,34,-158.90,TimedOut,0.9559
9,35,-177.70,TimedOut,0.9559
9,36,-107.30,TimedOut,0.9559
9,37,-257.30,TimedOut,0.9559
9,38,-98.60,TimedOut,0.9559
9,39,201.40,ReachedGoal,0.9559
9,40,-68.30,TimedOut,0.9559
9,41,-128.00,TimedOut,0.9559
9,42,-128.00,TimedOut,0.9559
9,43,-216.60,TimedOut,0.9559
9,44,-89.30,TimedOut,0.9559
9,45,-256.20,TimedOut,0.9559
9,46,-79.40,TimedOut,0.9559
9,47,-158.10,TimedOut,0.9559
9,48,-69.20,TimedOut,0.9559
9,49,-69.50,TimedOut,0.9559
10,0,-120.30,TimedOut,0.9511
10,1,-147.30,TimedOut,0.9511
10,2,-256.70,TimedOut,0.9511
10,3,-128.10,TimedOut,0.9511
10,4,-60.60,TimedOut,0.9511
10,5,-188.10,TimedOut,0.9511
10,6,-60.80,TimedOut,0.9511
10,7,-188.20,TimedOut,0.9511
10,8,-89.20,TimedOut,0.9511
10,9,-226.60,TimedOut,0.9511
10,10,-108.30,TimedOut,0.9511
10,11,-158.30,TimedOut,0.9511
10,12,-109.80,TimedOut,0.9511
10,13,-355.90,TimedOut,0.9511
10,14,-89.50,TimedOut,0.9511
10,15,-70.00,TimedOut,0.9511
10,16,-246.80,TimedOut,0.9511
10,17,-109.10,TimedOut,0.9511
10,18,-79.30,TimedOut,0.9511
10,19,-148.30,TimedOut,0.9511
10,20,-89.20,TimedOut,0.9511
10,21,-60.20,TimedOut,0.9511
10,22,-128.80,TimedOut,0.9511
10,23,-109.30,TimedOut,0.9511
10,24,-118.70,TimedOut,0.9511
10,25,-99.30,TimedOut,0.9511
10,26,-91.10,TimedOut,0.9511
10,27,-139.40,TimedOut,0.9511
10,28,-60.10,TimedOut,0.9511
10,29,-100.00,TimedOut,0.9511
10,30,-60.00,TimedOut,0.9511
10,31,-60.00,TimedOut,0.9511
10,32,-276.60,TimedOut,0.9511
10,33,-130.20,TimedOut,0.9511
10,34,-336.30,TimedOut,0.9511
10,35,-70.50,TimedOut,0.9511
10,36,-120.40,TimedOut,0.9511
10,37,-177.20,TimedOut,0.9511
10,38,-108.70,TimedOut,0.9511
10,39,-69.10,TimedOut,0.9511
10,40,-168.00,TimedOut,0.9511
10,41,-78.40,TimedOut,0.9511
